Product Name,Specifications,Price,MRP,Image URL
Panasonic 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV,"['Operating System: Google TV', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']","₹46,999","₹62,990",https://rukminim1.flixcart.com/image/312/312/xif0q/television/q/z/g/th-55mx660dx-panasonic-original-imagp25rgyvqgpsj.jpeg?q=70
SAMSUNG Crystal 4K Neo Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,"['Operating System: Tizen', 'Ultra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels', '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']","₹31,990","₹47,900",https://rukminim1.flixcart.com/image/312/312/l47cu4w0/television/9/0/f/-original-imagf5qummst7t94.jpeg?q=70
MarQ by Flipkart Innoview 80 cm (32 inch) HD Ready LED Smart Android TV,"['Operating System: Android', 'HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product']","₹8,999","₹19,999",https://rukminim1.flixcart.com/image/312/312/kzpw2vk0/television/c/7/4/-original-imagbz2cfhfa6qcg.jpeg?q=70
KODAK 106 cm (42 inch) Full HD LED Smart Android TV with Android 11 and Dolby Digital Plus,"['Operating System: Android', 'Full HD 1080 x 1920 Pixels', '1 Year Warranty on Product and 6 Months Warranty on Accessories']","₹16,999","₹28,499",https://rukminim1.flixcart.com/image/312/312/xif0q/television/j/8/8/-original-imagqwzfzqzfgby5.jpeg?q=70
"SENS Pikaso 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV with FluroSENS Panel, Dolby Audio and ...","['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive Warranty on Product and Additional 1 Year Warranty on Panel']","₹29,999","₹56,790",https://rukminim1.flixcart.com/image/312/312/xif0q/television/h/l/5/-original-imagpya9ctr5nwvu.jpeg?q=70
HUIDI 80 cm (32 Inch) HD Ready LED Smart Android Based TV with (Black) (2022 Model),"['Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '1 Year Standard Manufacturer Warranty From Huidi']","₹7,849","₹14,999",https://rukminim1.flixcart.com/image/312/312/kqse07k0/television/q/n/m/hd32d1m18-huidi-original-imag4puzwjsvjdrt.jpeg?q=70
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV,"['Operating System: Android', 'HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product & 6 Months on Accessories']","₹8,924","₹14,499",https://rukminim1.flixcart.com/image/312/312/kiyw9e80-0/television/p/0/w/32path0011-thomson-original-imafynyvsmeuwtzr.jpeg?q=70
Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Audio (2...,"['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Warranty on Product and 2 Years Warranty on Panel. OEM warranty activation starts from the date of delivery.']","₹37,999","₹54,999",https://rukminim1.flixcart.com/image/312/312/xif0q/television/k/i/b/-original-imaggsnk8gwmeg3h.jpeg?q=70
"MOTOROLA Envision 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Bezel-Less Design, Google V...","['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Years Warranty']","₹31,999","₹54,999",https://rukminim1.flixcart.com/image/312/312/xif0q/television/f/p/j/-original-imagpa2xnmvnz3rg.jpeg?q=70
Thomson 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision & Dolby Atmos,"['Operating System: Google TV', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Warranty on Product and 6 Months Warranty on Accessories']","₹22,999","₹35,999",https://rukminim1.flixcart.com/image/312/312/xif0q/television/s/s/w/43opmaxgt9010-thomson-original-imagpwdudmsuvkwx.jpeg?q=70
